cohort_month,months_since_signup,cohort_size,active_accounts,retention_pct
2023-01-01,0,2,2,100.0
2023-01-01,1,2,2,100.0
2023-01-01,2,2,2,100.0
2023-01-01,3,2,2,100.0
2023-01-01,4,2,2,100.0
2023-01-01,5,2,2,100.0
2023-01-01,6,2,1,50.0
2023-01-01,7,2,1,50.0
2023-01-01,8,2,1,50.0
2023-01-01,9,2,2,100.0
2023-01-01,10,2,2,100.0
2023-01-01,11,2,2,100.0
2023-01-01,12,2,2,100.0
2023-01-01,13,2,2,100.0
2023-01-01,14,2,2,100.0
2023-01-01,15,2,2,100.0
2023-01-01,16,2,2,100.0
2023-01-01,17,2,2,100.0
2023-01-01,18,2,2,100.0
2023-01-01,19,2,2,100.0
2023-01-01,20,2,2,100.0
2023-01-01,21,2,2,100.0
2023-01-01,22,2,2,100.0
2023-01-01,23,2,2,100.0
2023-02-01,0,8,7,87.5
2023-02-01,1,8,5,62.5
2023-02-01,2,8,6,75.0
2023-02-01,3,8,6,75.0
2023-02-01,4,8,5,62.5
2023-02-01,5,8,6,75.0
2023-02-01,6,8,6,75.0
2023-02-01,7,8,6,75.0
2023-02-01,8,8,7,87.5
2023-02-01,9,8,7,87.5
2023-02-01,10,8,8,100.0
2023-02-01,11,8,7,87.5
2023-02-01,12,8,7,87.5
2023-02-01,13,8,8,100.0
2023-02-01,14,8,7,87.5
2023-02-01,15,8,7,87.5
2023-02-01,16,8,7,87.5
2023-02-01,17,8,8,100.0
2023-02-01,18,8,7,87.5
2023-02-01,19,8,5,62.5
2023-02-01,20,8,6,75.0
2023-02-01,21,8,6,75.0
2023-02-01,22,8,7,87.5
2023-03-01,0,11,10,90.9
2023-03-01,1,11,7,63.6
2023-03-01,2,11,7,63.6
2023-03-01,3,11,6,54.5
2023-03-01,4,11,8,72.7
2023-03-01,5,11,8,72.7
2023-03-01,6,11,8,72.7
2023-03-01,7,11,8,72.7
2023-03-01,8,11,5,45.5
2023-03-01,9,11,7,63.6
2023-03-01,10,11,7,63.6
2023-03-01,11,11,7,63.6
2023-03-01,12,11,9,81.8
2023-03-01,13,11,9,81.8
2023-03-01,14,11,10,90.9
2023-03-01,15,11,10,90.9
2023-03-01,16,11,10,90.9
2023-03-01,17,11,10,90.9
2023-03-01,18,11,8,72.7
2023-03-01,19,11,8,72.7
2023-03-01,20,11,8,72.7
2023-03-01,21,11,9,81.8
2023-04-01,0,15,13,86.7
2023-04-01,1,15,12,80.0
2023-04-01,2,15,12,80.0
2023-04-01,3,15,11,73.3
2023-04-01,4,15,12,80.0
2023-04-01,5,15,13,86.7
2023-04-01,6,15,12,80.0
2023-04-01,7,15,12,80.0
