month_start,starting_mrr,expansion_mrr,contraction_mrr,churned_mrr,gross_mrr_churn_rate_pct,net_mrr_churn_rate_pct,nrr_pct
2023-01-01,0.0,0.0,0.0,0.0,,,
2023-02-01,4513.0,0.0,-2651.0,0.0,58.74,58.74,41.26
2023-03-01,9413.0,606.0,-700.0,-419.0,11.89,5.45,94.55
2023-04-01,30476.0,1334.0,-7920.0,-6529.0,47.41,43.03,56.97
2023-05-01,46898.0,26514.0,-2323.0,-735.0,6.52,-50.01,150.01
2023-06-01,102377.0,10111.0,-14435.0,-3038.0,17.07,7.19,92.81
2023-07-01,130469.0,27162.0,-23876.0,-5142.0,22.24,1.42,98.58
2023-08-01,182769.0,38068.0,-27396.0,-28639.0,30.66,9.83,90.17
2023-09-01,240179.0,31545.0,-20944.0,-10323.0,13.02,-0.12,100.12
2023-10-01,285343.0,49268.0,-68649.0,-5820.0,26.1,8.83,91.17
2023-11-01,311074.0,46898.0,-40416.0,-39567.0,25.71,10.64,89.36
2023-12-01,319478.0,50659.0,-53797.0,-9464.0,19.8,3.94,96.06
2024-01-01,387824.0,70741.0,-66777.0,-22216.0,22.95,4.71,95.29
2024-02-01,446955.0,123636.0,-90248.0,-46295.0,30.55,2.89,97.11
2024-03-01,514416.0,149315.0,-92962.0,-40956.0,26.03,-2.99,102.99
2024-04-01,592601.0,144262.0,-103068.0,-63550.0,28.12,3.77,96.23
2024-05-01,648907.0,131872.0,-144543.0,-25123.0,26.15,5.82,94.18
2024-06-01,783590.0,165040.0,-156645.0,-61209.0,27.8,6.74,93.26
2024-07-01,797412.0,182159.0,-244902.0,-50856.0,37.09,14.25,85.75
2024-08-01,833586.0,142528.0,-186565.0,-82143.0,32.24,15.14,84.86
2024-09-01,825288.0,218542.0,-209952.0,-87153.0,36.0,9.52,90.48
2024-10-01,870018.0,200073.0,-199323.0,-63868.0,30.25,7.25,92.75
2024-11-01,1012828.0,312103.0,-242897.0,-108296.0,34.67,3.86,96.14
2024-12-01,1172984.0,259761.0,-279970.0,-185954.0,39.72,17.58,82.42
