month_start,starting_mrr,new_mrr,expansion_mrr,contraction_mrr,churned_mrr,ending_mrr
2023-01-01,0.0,4513.0,0.0,0.0,0.0,4513.0
2023-02-01,4513.0,7551.0,0.0,-2651.0,0.0,9413.0
2023-03-01,9413.0,21576.0,606.0,-700.0,-419.0,30476.0
2023-04-01,30476.0,29537.0,1334.0,-7920.0,-6529.0,46898.0
2023-05-01,46898.0,32023.0,26514.0,-2323.0,-735.0,102377.0
2023-06-01,102377.0,35454.0,10111.0,-14435.0,-3038.0,130469.0
2023-07-01,130469.0,54156.0,27162.0,-23876.0,-5142.0,182769.0
2023-08-01,182769.0,75377.0,38068.0,-27396.0,-28639.0,240179.0
2023-09-01,240179.0,44886.0,31545.0,-20944.0,-10323.0,285343.0
2023-10-01,285343.0,50932.0,49268.0,-68649.0,-5820.0,311074.0
2023-11-01,311074.0,41489.0,46898.0,-40416.0,-39567.0,319478.0
2023-12-01,319478.0,80948.0,50659.0,-53797.0,-9464.0,387824.0
2024-01-01,387824.0,77383.0,70741.0,-66777.0,-22216.0,446955.0
2024-02-01,446955.0,80368.0,123636.0,-90248.0,-46295.0,514416.0
2024-03-01,514416.0,62788.0,149315.0,-92962.0,-40956.0,592601.0
2024-04-01,592601.0,78662.0,144262.0,-103068.0,-63550.0,648907.0
2024-05-01,648907.0,172477.0,131872.0,-144543.0,-25123.0,783590.0
2024-06-01,783590.0,66636.0,165040.0,-156645.0,-61209.0,797412.0
2024-07-01,797412.0,149773.0,182159.0,-244902.0,-50856.0,833586.0
2024-08-01,833586.0,117882.0,142528.0,-186565.0,-82143.0,825288.0
2024-09-01,825288.0,123293.0,218542.0,-209952.0,-87153.0,870018.0
2024-10-01,870018.0,205928.0,200073.0,-199323.0,-63868.0,1012828.0
2024-11-01,1012828.0,199246.0,312103.0,-242897.0,-108296.0,1172984.0
2024-12-01,1172984.0,183693.0,259761.0,-279970.0,-185954.0,1150514.0
