month_start,industry,active_accounts,total_mrr,avg_mrr_per_account
2023-01-01,Cybersecurity,1,931.0,931.0
2023-01-01,DevTools,0,0.0,
2023-01-01,EdTech,0,0.0,
2023-01-01,FinTech,0,0.0,
2023-01-01,HealthTech,1,3582.0,3582.0
2023-02-01,Cybersecurity,1,931.0,931.0
2023-02-01,DevTools,4,1599.0,399.75
2023-02-01,EdTech,0,0.0,
2023-02-01,FinTech,1,1176.0,1176.0
2023-02-01,HealthTech,3,5707.0,1902.33
2023-03-01,Cybersecurity,6,10227.0,1704.5
2023-03-01,DevTools,4,4370.0,1092.5
2023-03-01,EdTech,1,646.0,646.0
2023-03-01,FinTech,3,10128.0,3376.0
2023-03-01,HealthTech,3,5105.0,1701.67
2023-04-01,Cybersecurity,6,12945.0,2157.5
2023-04-01,DevTools,9,12903.0,1433.67
2023-04-01,EdTech,2,2238.0,1119.0
2023-04-01,FinTech,5,10486.0,2097.2
2023-04-01,HealthTech,6,8326.0,1387.67
2023-05-01,Cybersecurity,9,44120.0,4902.22
2023-05-01,DevTools,13,32034.0,2464.15
2023-05-01,EdTech,5,5756.0,1151.2
2023-05-01,FinTech,8,12876.0,1609.5
2023-05-01,HealthTech,5,7591.0,1518.2
2023-06-01,Cybersecurity,10,46978.0,4697.8
2023-06-01,DevTools,21,37626.0,1791.71
2023-06-01,EdTech,4,11239.0,2809.75
2023-06-01,FinTech,12,21881.0,1823.42
2023-06-01,HealthTech,8,12745.0,1593.13
2023-07-01,Cybersecurity,12,62860.0,5238.33
2023-07-01,DevTools,24,36603.0,1525.13
2023-07-01,EdTech,6,5657.0,942.83
2023-07-01,FinTech,16,20520.0,1282.5
2023-07-01,HealthTech,11,57129.0,5193.55
2023-08-01,Cybersecurity,18,58651.0,3258.39
2023-08-01,DevTools,24,46946.0,1956.08
2023-08-01,EdTech,12,11669.0,972.42
2023-08-01,FinTech,18,40322.0,2240.11
2023-08-01,HealthTech,19,82591.0,4346.89
2023-09-01,Cybersecurity,19,67226.0,3538.21
2023-09-01,DevTools,30,64604.0,2153.47
2023-09-01,EdTech,12,18712.0,1559.33
2023-09-01,FinTech,24,59475.0,2478.13
2023-09-01,HealthTech,20,75326.0,3766.3
2023-10-01,Cybersecurity,22,41899.0,1904.5
2023-10-01,DevTools,32,71729.0,2241.53
2023-10-01,EdTech,14,32512.0,2322.29
2023-10-01,FinTech,31,77876.0,2512.13
2023-10-01,HealthTech,24,87058.0,3627.42
2023-11-01,Cybersecurity,24,55737.0,2322.38
2023-11-01,DevTools,31,71723.0,2313.65
2023-11-01,EdTech,15,19983.0,1332.2
2023-11-01,FinTech,38,101408.0,2668.63
2023-11-01,HealthTech,23,70627.0,3070.74
2023-12-01,Cybersecurity,26,76921.0,2958.5
2023-12-01,DevTools,39,87340.0,2239.49
2023-12-01,EdTech,22,39088.0,1776.73
2023-12-01,FinTech,42,116292.0,2768.86
2023-12-01,HealthTech,32,68183.0,2130.72
2024-01-01,Cybersecurity,29,66636.0,2297.79
2024-01-01,DevTools,45,90120.0,2002.67
2024-01-01,EdTech,24,64967.0,2706.96
2024-01-01,FinTech,45,133209.0,2960.2
2024-01-01,HealthTech,38,92023.0,2421.66
2024-02-01,Cybersecurity,34,97991.0,2882.09
2024-02-01,DevTools,51,145776.0,2858.35
2024-02-01,EdTech,26,79437.0,3055.27
2024-02-01,FinTech,45,106365.0,2363.67
2024-02-01,HealthTech,38,84847.0,2232.82
2024-03-01,Cybersecurity,40,119831.0,2995.78
2024-03-01,DevTools,56,150853.0,2693.8
2024-03-01,EdTech,27,86786.0,3214.3
2024-03-01,FinTech,51,159296.0,3123.45
2024-03-01,HealthTech,43,75835.0,1763.6
2024-04-01,Cybersecurity,46,143897.0,3128.2
2024-04-01,DevTools,50,109753.0,2195.06
2024-04-01,EdTech,32,101710.0,3178.44
2024-04-01,FinTech,53,193023.0,3641.94
2024-04-01,HealthTech,46,100524.0,2185.3
2024-05-01,Cybersecurity,52,195003.0,3750.06
2024-05-01,DevTools,61,173475.0,2843.85
2024-05-01,EdTech,39,142959.0,3665.62
2024-05-01,FinTech,58,156872.0,2704.69
2024-05-01,HealthTech,53,115281.0,2175.11
2024-06-01,Cybersecurity,57,178540.0,3132.28
2024-06-01,DevTools,64,152776.0,2387.13
2024-06-01,EdTech,43,137843.0,3205.65
2024-06-01,FinTech,62,205857.0,3320.27
2024-06-01,HealthTech,58,122396.0,2110.28
2024-07-01,Cybersecurity,63,199601.0,3168.27
2024-07-01,DevTools,75,164247.0,2189.96
2024-07-01,EdTech,50,140334.0,2806.68
2024-07-01,FinTech,70,226319.0,3233.13
2024-07-01,HealthTech,58,103085.0,1777.33
2024-08-01,Cybersecurity,65,172006.0,2646.25
2024-08-01,DevTools,78,169192.0,2169.13
2024-08-01,EdTech,55,140967.0,2563.04
2024-08-01,FinTech,73,217904.0,2984.99
2024-08-01,HealthTech,59,125219.0,2122.36
2024-09-01,Cybersecurity,66,138464.0,2097.94
2024-09-01,DevTools,74,153289.0,2071.47
2024-09-01,EdTech,61,214616.0,3518.3
2024-09-01,FinTech,78,190364.0,2440.56
2024-09-01,HealthTech,63,173285.0,2750.56
2024-10-01,Cybersecurity,73,219819.0,3011.22
2024-10-01,DevTools,80,184974.0,2312.18
2024-10-01,EdTech,61,180747.0,2963.07
2024-10-01,FinTech,79,231077.0,2925.03
2024-10-01,HealthTech,64,196211.0,3065.8
2024-11-01,Cybersecurity,81,222129.0,2742.33
2024-11-01,DevTools,92,219006.0,2380.5
2024-11-01,EdTech,59,227636.0,3858.24
2024-11-01,FinTech,90,303667.0,3374.08
2024-11-01,HealthTech,71,200546.0,2824.59
2024-12-01,Cybersecurity,83,234335.0,2823.31
2024-12-01,DevTools,87,197810.0,2273.68
2024-12-01,EdTech,63,260502.0,4134.95
2024-12-01,FinTech,87,278721.0,3203.69
2024-12-01,HealthTech,71,179146.0,2523.18
