month_start,plan_tier,active_accounts,total_mrr,avg_mrr_per_account
2023-01-01,Enterprise,1,3582.0,3582.0
2023-01-01,Pro,1,931.0,931.0
2023-02-01,Basic,3,570.0,190.0
2023-02-01,Enterprise,2,4776.0,2388.0
2023-02-01,Pro,5,4067.0,813.4
2023-03-01,Basic,6,2356.0,392.67
2023-03-01,Enterprise,6,19104.0,3184.0
2023-03-01,Pro,9,9016.0,1001.78
2023-04-01,Basic,11,5548.0,504.36
2023-04-01,Enterprise,14,28855.0,2061.07
2023-04-01,Pro,11,12495.0,1135.91
2023-05-01,Basic,16,6384.0,399.0
2023-05-01,Enterprise,19,71640.0,3770.53
2023-05-01,Pro,15,24353.0,1623.53
2023-06-01,Basic,25,12065.0,482.6
2023-06-01,Enterprise,21,82585.0,3932.62
2023-06-01,Pro,24,35819.0,1492.46
2023-07-01,Basic,37,16036.0,433.41
2023-07-01,Enterprise,23,132335.0,5753.7
2023-07-01,Pro,29,34398.0,1186.14
2023-08-01,Basic,44,16454.0,373.95
2023-08-01,Enterprise,36,184672.0,5129.78
2023-08-01,Pro,36,39053.0,1084.81
2023-09-01,Basic,45,19000.0,422.22
2023-09-01,Enterprise,40,213129.0,5328.23
2023-09-01,Pro,46,53214.0,1156.83
2023-10-01,Basic,57,23579.0,413.67
2023-10-01,Enterprise,49,234820.0,4792.24
2023-10-01,Pro,42,52675.0,1254.17
2023-11-01,Basic,61,24358.0,399.31
2023-11-01,Enterprise,64,246561.0,3852.52
2023-11-01,Pro,44,48559.0,1103.61
2023-12-01,Basic,70,30400.0,434.29
2023-12-01,Enterprise,65,283973.0,4368.82
2023-12-01,Pro,54,73451.0,1360.2
2024-01-01,Basic,81,35169.0,434.19
2024-01-01,Enterprise,68,324370.0,4770.15
2024-01-01,Pro,63,87416.0,1387.56
2024-02-01,Basic,78,32756.0,419.95
2024-02-01,Enterprise,74,382876.0,5174.0
2024-02-01,Pro,79,98784.0,1250.43
2024-03-01,Basic,78,34713.0,445.04
2024-03-01,Enterprise,92,453322.0,4927.41
2024-03-01,Pro,88,104566.0,1188.25
2024-04-01,Basic,78,36917.0,473.29
2024-04-01,Enterprise,104,512226.0,4925.25
2024-04-01,Pro,98,99764.0,1018.0
2024-05-01,Basic,79,35093.0,444.22
2024-05-01,Enterprise,116,612522.0,5280.36
2024-05-01,Pro,112,135975.0,1214.06
2024-06-01,Basic,102,42579.0,417.44
2024-06-01,Enterprise,120,623268.0,5193.9
2024-06-01,Pro,113,131565.0,1164.29
2024-07-01,Basic,106,51281.0,483.78
2024-07-01,Enterprise,132,618890.0,4688.56
2024-07-01,Pro,124,163415.0,1317.86
2024-08-01,Basic,114,60515.0,530.83
2024-08-01,Enterprise,130,596801.0,4590.78
2024-08-01,Pro,136,167972.0,1235.09
2024-09-01,Basic,144,71212.0,494.53
2024-09-01,Enterprise,134,637596.0,4758.18
2024-09-01,Pro,130,161210.0,1240.08
2024-10-01,Basic,156,71193.0,456.37
2024-10-01,Enterprise,148,773712.0,5227.78
2024-10-01,Pro,130,167923.0,1291.72
2024-11-01,Basic,144,64296.0,446.5
2024-11-01,Enterprise,172,940275.0,5466.72
2024-11-01,Pro,144,168413.0,1169.53
2024-12-01,Basic,151,69426.0,459.77
2024-12-01,Enterprise,163,884157.0,5424.28
2024-12-01,Pro,149,196931.0,1321.68
